chr1	4601270	4601949
chr1	20430990	20431223
chr1	24280486	24280643
chr1	58111418	58111810
chr1	61197905	61198494
chr1	62117876	62118085
chr1	74827561	74828339
chr1	75701218	75701613
chr1	76634386	76634634
chr1	90695414	90696742
chr1	90736421	90738038
chr1	90978964	90979362
chr1	109874954	109875187
chr1	120807353	120807842
chr1	130474793	130475404
chr1	138125216	138125468
chr1	141090523	141091732
chr1	154287090	154287134
chr1	154639986	154640200
chr1	159732120	159732365
chr1	160857900	160858259
chr1	163626095	163626289
chr1	163934097	163935330
chr1	170355710	170357171
chr1	172919807	172920144
chr1	174151565	174151976
chr1	180498980	180499097
chr1	191283413	191284258
chr1	191615826	191616628
chr10	22363760	22364208
chr10	25031607	25031974
chr10	27779753	27779897
chr10	31016688	31017227
chr10	37098274	37099107
chr10	51579164	51579539
chr10	59491659	59492545
chr10	60507834	60508253
chr10	61600898	61601313
chr10	79878249	79878755
chr10	100148489	100148561
chr10	104767833	104768256
chr10	110710998	110711258
chr10	114128779	114129037
chr10	114958056	114958905
chr10	117431753	117433866
chr10	118102939	118103591
chr10	125427094	125427758
chr10	126970184	126970965
chr11	8413818	8414081
chr11	18813097	18813625
chr11	24945326	24946139
chr11	32825212	32825684
chr11	35311675	35311756
chr11	36281306	36281524
chr11	37311737	37312670
chr11	59786095	59786597
chr11	63604729	63605000
chr11	71228267	71229138
chr11	76196190	76196432
chr11	79869304	79869991
chr11	84197495	84197564
chr11	85491405	85492319
chr11	89135452	89135853
chr11	89817246	89817407
chr11	90551785	90551950
chr11	90993371	90993635
chr11	104072714	104072826
chr11	108822837	108823377
chr11	115030876	115033275
chr11	115087973	115089184
chr11	117786933	117787463
chr12	8372383	8372515
chr12	25848386	25848884
chr12	26800696	26801486
chr12	28022503	28022957
chr12	32913488	32914132
chr12	49979418	49980134
chr12	57035043	57035925
chr12	79092637	79092997
chr12	87046520	87047277
chr12	87620990	87622022
chr12	92881731	92882827
chr12	99132326	99132409
chr12	101018144	101018622
chr12	103788411	103789252
chr12	112513510	112514995
chr13	6921868	6921967
chr13	15668501	15669463
